tweet,label
"調べてみたら、私のBEはまだ発送したばっかだったみたい😂
どんまい！
でももうちょっとでくるー！！！💜
楽しみ😊",0
弁当買ったらしょう油付いてたんやけど、どれにかけるやつなん？( ˙꒳​˙  ) https://t.co/Q2CiJfnJVM,1
"★体の悩み★相互フォロー支援
体のあらゆる悩みについての情報配信・受信を支援するアカウントです
「当アカウントをフォロー」⇒
「このツイートをリツイート」⇒
「フォローされている人を フォロー」 
上手に使ってください https://t.co/G9TpM4hRDW",0
"【#ユナイト神尾晋一郎】

2月13日（土）26時放送📻
『U-nite 81Saturday #神尾晋一郎 の ""1""Thing』
 (@s_kamio113) 

聴いてくれた方が面白そう！やってみたい！と
つい心が動いてしまうアツいトークで
""一つの事""について語ります🙌

#TOKYOFM https://t.co/3s3FvCBf6E",0
"【完売商品情報】

『WE ARE 7ORDER IN PARCO』
・ポーチ　Mサイズ

上記商品、ご好評につき完売いたしました。
会場への再入荷は未定です。
再入荷の際にはこちらのアカウントにてお知らせいたします。

#7ORDER #WEARE7ORDER",0
"198m しんぷる！ #PS4share

https://t.co/K4W5jgFW5g https://t.co/RwtVHB8Qxx",1
「のむ・うつ・かう」って聞いたら、「飲む・鬱・カウンセリング」って連想するのは仕方の無い事だと私は提言したい！(｀・ω・´)ゝ,1
"朝起きたら眼鏡が無くなってた。
どこを探しても見つからない。
寝る前まで確実にかけていた
寝てるときもたぶんかけていた
ゴミ箱に落下してそのまま捨てられた？
誰も知らないという。

六万円の眼鏡…かなしみ",1
地図も渡されないまま荒れ野に放り出され遠いお星さまを頼りに見果てぬ楽園を探して突き進む旅団の団長のみたいなお仕事。,0
"今日はちょっと早めにおやツイ！🌙.*
皆今日は休めたかー？
明日からも頑張っていこ！！😆
あー、魔法科の深雪が可愛い……
神様になった日もホントに好き、、、
#アニメ好きと繋がりたい
#初リプ大歓迎 https://t.co/9SqkmQ4ZQ8",0
"今年の秋の朝ドラ、楽しみ〜♫

NHK様！　エキストラで充分です！　さださんと共演させてぇ〜🙏
😜😜😜

#NHK #朝ドラ #カムカムエヴリバディ

ｄメニューニュース:さだまさし、ＮＨＫ朝ドラデビュー　主題歌オファーと勘違い「驚きの『出演』でした」（サンケイスポーツ） https://t.co/c1jdoHEiIq",0
本日の10時打ちの結果〜 https://t.co/XmDNIbblC6,0
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 彼女のすきなとこ…
● 今カノとのこどもはいつですか？…
● 人の彼女寝取ったってリプ回って…
● きさん？…
#質問箱 #匿名質問募集中

https://t.co/0K9cW1hjg2",0
"うごくひょうぞうやっとのことLV30撃破!トドメのかいしん14,000オーバーが熱かった!本当にうれしい〜 #ドラクエウォーク",1
Rwtweet　ありがとうございました。,0
"ツイステの一周年記念、ガチャ100連で天井でSSR1枚(ランダム)＋祝福のマジカルキーで好きなSSR1枚と交換って、太っ腹すぎません…？？？100連で2枚確定(片方は選べる)って有り難い…😭😭😭

寮服カリムくん交換しようかな☀
いや、でも水属性よわよわだから、寮服アズールも捨てがたい…迷う…🤔",0
運営さんやどんだけアイスボックスで裏どりして欲しんかて,1
"本日の戦利品です。
お納めください○┐ﾍﾟｺ

おやすみ世界( ˘ω˘ ) https://t.co/8kLzTdG2eG",0
げんしんのしすぎでげろる夜中,1
"ねおなな杯本日は我ら2名は賞金首！
という事でなかなか逃げ切りましたw
車音を避け…
行くとこ行くとこ隠れ…
最後に暴走したったらやられまピタ♡

楽しんで頂けた人達多くて
感謝いたしますm(*_ _)m✨

また次回もお楽しみに( ≖ᴗ≖​)ﾆﾔｯ

ななたんお疲れ様♡
@nanach1_WTF https://t.co/vzgRdfA8Eh",1
"はじめてゲリラで3キルした

あーおやすみなさいデュフフ😏",0
喜んだ人は喜びの種を忘れるが、悲しんだ人は悲しみの種を忘れない。キケロ『ムレナ弁護演説』,1
"娘のHPVワクチンの接種、「迷っている」母親が5割。意識調査で明らかに https://t.co/SprBWse46v @rekopekopakoより

やった方が良いのは明白。性生活と男女交際をしなきゃ要らんけど",0
"スクリーナ
Call of Duty: Mobileに参加しよう！リンクをクリックしてチームに参加しよう！ https://t.co/aL8TNtlbGb",0
24話近づくごとに動悸息切れきつけが激しくなるのでそろそろ｢🎵きゅ〜しんきゅ〜しん｣が欲しい。,1
新井薬師の駅近に松屋ができる。しかもマイカリー食堂＆松屋の特殊店舗だ。すぐ近くに福しんも移転してるし、飽食の時代が始まる。,1
"けいたいかこわれてひらかなしかうてない

たくてんもうてない",1
昨日健康診断で体重計ったんだけど、50kgなかったし、ウエスト66だったw,0
3月8日にQoo10で頼んだオピュのティントがまだ配送要請な件。まぁ、、、、そのうちキャンセルとかくるかなwww,0
ボジョレー飲むーー,0
ｻﾝｼﾞﾊﾝ!,0
あとはきゅーけつさんと番ちゃんの診断結果見たさある,1
"私の人生でBTSに出逢えたこと、そして彼らを応援出来ることがとても幸せなことの１つだと思う。
まだまだ自分自身をARMYと呼べるのかは分からないけど先輩ARMYの皆さんのYouTubeやTwitterなどを見てひたすら勉強中です😆
彼らが元気で笑顔で幸せでいれくれることが私の幸せです❤️ https://t.co/w7OVlAb8Ih",0
夏休みをけ短縮してまで詰め込む必要があるのでしょうか。超過密の40人学級でエアコン付けても窓や出入口の扉を開けて猛暑の中での授業、想像しただけでムリなことは明らかです。人数を半分に指定きめ細かな教育こそすすめるべきでは泣いてしょうか。 https://t.co/yQluXHU4le,1
アニカフェ迷子ちゃん達やっっとまとめました～宜しければお声かけ下さい✨,0
明日明後日やればパリピ孔明は取れるけど4枚目の周瑜兵取れないし存在忘れてたかなしみ,1
"少量ですがオリシャン作っていただいてます！！✨🍾🍷🍸

うさしん初のオリシャン〜✌️かわい〜😭😭

めちゃくちゃ可愛くしていただいてて超お気に入りなのでお祝いして貰えるとうれしーです😭🙏
特典少しつけよーかなって思います！ https://t.co/xQYEiAhqPs",1
カーリング　女子強豪対決に期待　ロコ・ソラーレ対北海道銀行　稚内で９月に五輪代表決定戦：北海道新聞 どうしん電子版 https://t.co/gBvBF3M8VR,1
"今日は午前中に、
食料品の買い出しを済ませ、
午後はお迎えまでゆっくりと
してる。

気が向けば、インプットしていこう。

ムリはしない方向で
#うつ病",1
"みんなからの匿名質問を募集中！

生きているけれど少し疲れたさんはまだ答えた質問がありません！
生きているけれど少し疲れたさんの記念すべき最初の回答はあなたの質問かも！？
#質問箱 #匿名質問募集中

https://t.co/4FBhRXOGE3",0
"【1日2名のみ】高円寺DJスクールの体験レッスンですが2/27(土)～3/14(日)の期間限定でキャンペーン価格で受けられます💁‍♂️

春が始まる前のこの機会にDJというでっかい武器を手に入れませんか？😉

日時などの詳細やお申込みは下記のリンクから

→ https://t.co/3N604JJxAq

#高円寺DJ部室 https://t.co/9y5xzrt2Vc",0
"【現在1位】2位がかなり近づいてきておりますチアチアよろしくお願いします💓🥺
https://t.co/4O2LPMl9vf",0
ダメだ、ここから先に進めないw https://t.co/TWEaflWmtf,0
"【交換】あんスタ スタライ  リングライト 缶バッジ リンライ
譲)翠、颯馬、アドニス
求)リンライ:薫
     缶バ:零、薫、敬人
福岡天神手渡し(11/16、17ライビュ)。各1ずつ。よろしくお願い致します。 https://t.co/Eagpgs4z4J",0
"モデルとして活躍もされてて、撮影中もポーズのアイデア出してくれて、すごい楽しくてためになった撮影でしたー！😊

作例はインスタにも載せてますので、ご覧くださいー！
撮影依頼はDMを！

https://t.co/mIP4BVTCt9

#関西カメラ部
#京都
#ポートレート
#被写体募集 https://t.co/OPuQgiXn7t",0
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● 名前が分かりずらいんじゃいいい…
● 何回やっても恋愛関係がうまくい…
● 好きな東方のマイナー原曲とかあ…
● どういうタイプの子が好み？…
#質問箱 #匿名質問募集中

https://t.co/5ACLClcjc4",0
"先週行った富士市瓜島町の味正さんのエビチリごはんセット！
#富士市
#味正
#エビチリ https://t.co/8SBbehyTvw",0
"抽選で5万名様に、全国のローソンで引き換えられる「UCC COLD BREW BLACK」のクーポンが当たるキャンペーンを実施中！
3月30日（火）12:59まで毎日応募可能！
https://t.co/l3Mp2rhi6F
#コーヒーといえばUCC　#コールドブリュー #香るどブリュー",0
"気分が落ち込んでるときにこれは見たくなかった・・・
ゲームとはいえうつ病の人には耐えれません https://t.co/CN3NHYyMAm",1
毎年恒例 https://t.co/SKQ4EpPEgs,0
"某先生の「半純血のプリンス」のあだ名。
翻訳前は何て言うのか知らないけど、学生時代ライバルに知られたらあだ名が「半けつプリン」になる危険性があるよね。",1
"今日精神科行ってきたらSADって診断されたよ
うつ病や精神を安定させる薬を貰いました。
うつ病の薬なので性格が少し明るくなるみたいです。
副作用として精神が不安定になったり性的関心　性欲低下などがあるみたいなので薬を飲む前にシコることを日課にしたいと思います。",1
えんぴつの持ち方でハミガキ ＃みがきマス ＃クレヨンしんちゃん ＃ハブラシの持ち方 https://t.co/QqxcUHbaI0,1
"#新春アニソンショー 超楽しかったですね！見事ビンゴな方続出で嬉しくなっちゃった！
今年もいっぱいアニソンで遊ぼうねぃ(๑˘ᴗ˘๑)+*
まずは1/30(土)22:00〜の #ニジフリ紫 楽しんで参りましょう〜 https://t.co/alh6EyPzUC",1
"わんこのついてくん実装待ってます！！！
ビーグル犬ください！",0
"は？え？サーバル？
いや金無いよ？
セーバルも出せんかったのに",0
なんか今日TL猫が多くて癒されるわ！,0
おはようございます☀,0
うちのSR枠やたら砂上手いから前から怪しんでたけど、やはりチーターやった😅 https://t.co/fBgenkny21,0
なんかうつ病でかかってるお医者さんに内科の症状聞かれて終わる感じで精神科にかかってる意味あんのか疑問に感じるんだけど,1
"402RADIO CH登録500人様突破！
ありがとうございます🙇‍♂️🎉🍾
まだまだ小さいCHですが楽しんでやっていきます！

そして！！
生配信で言った通り3月中にウルザズサーガ開封します！

是非是非見に来てください！

今回のアーカイブはリプ欄！↓↓↓

#mtg
@MTG_someyan0408 
@Gemini_ShuShu https://t.co/bImAeTAtuE",1
４９００万から１週間もたたないうちに１億いけたからインチェ今期こわれてる,1
テンションしんでて申し訳だた,1
ティラノサウルス中々やる,0
こんなしんちゃんは最高だよ。 https://t.co/dDHhggeDJr,1
"#ハンバトスライム兵団討伐 #モッチルム #彩虹の粘塊兵団 #ドラクエ10 ドラクエ10 さらさの冒険日誌 : スライム兵団討伐祭り☆
https://t.co/a1QSY9aDBX",0
"明日25日発売の月刊ビッグガンガンに、父は英雄～の30話が掲載されています。

ついに反撃開始！
事態の収拾に向けて、いよいよヴァンクライフト家が動き始めます──！

同日にコミックス５巻も発売！
コミックス→本誌に繋がりますので、続けて楽しんでいただければ！ https://t.co/ujZAFFrqLK",1
"＜やっぺすNEWS更新しました！＞
やっぺす！女性のためのプログラム”きらり”での活動の様子をまとめた報告書が完成いたしました。
ご覧になりたい方は弊団体事務所にてお渡しいたします。お気軽におこしください♪

https://t.co/zIXEfxhbYp https://t.co/zIXEfxhbYp",0
"羽生結弦選手
自分を信じて楽しんで演技して欲しいです
成功を心から祈っています🙏
頑張れ！
#羽生結弦",1
マッシブ好きすぎて泣ける泣いてる😭😭😭Ｎｏ．1のやましょうのMA55IVE TO THE topの歌い方が好きすぎるしその前の段階でしょへと肩組んでんのなにあれ死ぬこの2人死ぬ全部死ぬ会いたいランペを全身で感じたい死ぬ,1
ラジオ…PASMO持ってるのかと。前に電子マネー使ったって言ってたような…なんだっけ…,0
"苦しんでいる友人や家族から話しを持ちかけられたら、まずはきちんと聞いてあげて、きちんと「あなたが怒る（悲しむ、苦しむ）理由は理解できる」と伝えてあげて、気持ちをラクにしてあげるのが良いようです。
『あなたが怒る（悲しむ、苦しむ）理由は理解できる』
⇒ https://t.co/feoaZg20EA",1
今日1試合しかなくて、play of the dayやらなかったかなしみ,1
"みんなからの匿名質問を募集中！

こんな質問に答えてるよ
● SCANDALはいつからファン…
● ベスクリ行くんですね✨
楽しん…
#質問箱 #匿名質問募集中

https://t.co/0hUBvQAJ2G",1
クレしんでもボロボロに泣いてスラッグにも泣かされて頭が痛いからお風呂入ろ…ゲームもやりたいぞ…,1
"LINEの背景画像☺️❤️
てんくん、しんくん、かいちゃん
ほんまに可愛すぎる🥺❤️❤️❤️ https://t.co/KZpQwy56AK",1
未完成のままミックスを突き詰めてみたのだが、こうして聴くとインストながらブラックメタルとして充分に成立しているように思える。「ブラックメタルの記号化」というテーマの追究を徹底するならこれで完成とするべきかもしれないが、自分で楽しんで聴くことを考えるとやはりスクリームは外せないな。,1
嵐見れなくなっちゃうのか〜さびしいね,1
"【譲渡】忍たまブロマイド（運動会）2L判
譲）乱きりしん、猪名寺乱太郎、潮江文次郎、立花仙蔵、七松小平太
求）定価（＋送料）
5/26前楽の前後、または都内手渡し可能です。検索からでもお気軽にどうぞ。
#rkrnグッズ交換譲渡 https://t.co/DugC2ulCRw",1
しん○き最終回で付けそうだなと https://t.co/DehstAKq8a,1
クランメンバー募集してます( ⸝⸝•ᴗ•⸝⸝ )੭♡ https://t.co/EymPbmCV9n,0
